environment.name, environment.size, time, instances, cache.primary.hit, cache.primary.miss, cache.secondary.hit, cache.secondary.miss, result.duplicates, result.size
dist, 1, 19167.100, 2213, 0, 39521, 125492, 31612, 33330, 60252
dist, 16, 1501.089, 2213, 0, 39521, 118899, 38205, 33330, 60252
dist, 2, 10127.284, 2213, 0, 39521, 124773, 32331, 33330, 60252
dist, 4, 5206.896, 2213, 0, 39521, 123213, 33891, 33330, 60252
dist, 8, 2698.923, 2213, 0, 39521, 121709, 35395, 33330, 60252
shared, 1, 41411.625, 252, 0, 39521, 125492, 31612, 17066, 60252
shared, 2, 14537.520, 252, 0, 39521, 125492, 31612, 17066, 60252
shared, 4, 6810.114, 252, 0, 39521, 125492, 31612, 17066, 60252
shared, 8, 3894.028, 252, 0, 39521, 125492, 31612, 17066, 60252
