environment.name, environment.size, time, instances, cache.primary.hit, cache.primary.miss, cache.secondary.hit, cache.secondary.miss, result.duplicates, result.size
dist, 1, 659.273, 371, 0, 6215, 19256, 5330, 4557, 9391
dist, 16, 94.370, 371, 0, 6215, 16770, 7816, 4557, 9391
dist, 2, 358.445, 371, 0, 6215, 19162, 5424, 4557, 9391
dist, 4, 202.448, 371, 0, 6215, 18629, 5957, 4557, 9391
dist, 8, 122.177, 371, 0, 6215, 17793, 6793, 4557, 9391
shared, 1, 1610.746, 85, 0, 6215, 19256, 5330, 2537, 9391
shared, 2, 769.358, 85, 0, 6215, 19256, 5330, 2537, 9391
shared, 4, 250.586, 85, 0, 6215, 19256, 5330, 2537, 9391
shared, 8, 167.617, 85, 0, 6215, 19256, 5330, 2537, 9391
