code,name,confusing_factor,confusing_factor_normalized
ne,Niger,135,0.38135593220338981
ng,Nigeria,95,0.26836158192090398
cf,Central African Republic,34,0.096045197740112997
cg,Republic of the Congo,31,0.087570621468926552
ga,Gabon,22,0.062146892655367235
ci,Ivory Coast,19,0.053672316384180789
ug,Uganda,10,0.028248587570621469
gn,Guinea,8,0.022598870056497175
