CaI	IP3	CaS	g	C	D	Robustness
0.1	0.05	1100.0	0.0	0.615625	1.96875	-87.9252
0.1	0.05	1100.0	0.0	0.615625	1.984375	-87.889824
0.1	0.05	1100.0	0.0	0.615625	2.015625	-88.01227
0.1	0.05	1100.0	0.0	0.615625	2.03125	-87.962776
0.1	0.05	1100.0	0.0	0.615625	2.046875	-77.58959
0.1	0.05	1100.0	0.0	0.615625	2.0625	-57.418076
0.1	0.05	1100.0	0.0	0.615625	2.078125	-36.611893
0.1	0.05	1100.0	0.0	0.615625	2.09375	-18.518585
0.1	0.05	1100.0	0.0	0.615625	2.109375	-7.225952
0.1	0.05	1100.0	0.0	0.615625	2.125	-9.083443
0.1	0.05	1100.0	0.0	0.615625	2.140625	-8.468475
0.1	0.05	1100.0	0.0	0.615625	2.15625	-8.226921
0.1	0.05	1100.0	0.0	0.615625	2.171875	-8.515213
0.1	0.05	1100.0	0.0	0.615625	2.1875	-9.296059
0.1	0.05	1100.0	0.0	0.615625	2.203125	-10.519951
0.1	0.05	1100.0	0.0	0.615625	2.21875	-12.130669
0.1	0.05	1100.0	0.0	0.615625	2.234375	-12.8741
0.1	0.05	1100.0	0.0	0.615625	2.25	-12.635124
0.1	0.05	1100.0	0.0	0.615625	2.265625	-12.881241
0.1	0.05	1100.0	0.0	0.615625	2.28125	-13.575615
0.1	0.05	1100.0	0.0	0.615625	2.296875	-18.876663
0.1	0.05	1100.0	0.0	0.615625	2.3125	-30.720901
0.1	0.05	1100.0	0.0	0.615625	2.328125	-42.4341
0.1	0.05	1100.0	0.0	0.615625	2.34375	-51.296074
0.1	0.05	1100.0	0.0	0.615625	2.359375	-57.49374
0.1	0.05	1100.0	0.0	0.615625	2.375	-61.816677
0.1	0.05	1100.0	0.0	0.615625	2.390625	-64.90764
0.1	0.05	1100.0	0.0	0.615625	2.40625	-67.19171
0.1	0.05	1100.0	0.0	0.615625	2.421875	-68.93433
0.1	0.05	1100.0	0.0	0.615625	2.4375	-70.30315
0.1	0.05	1100.0	0.0	0.615625	2.453125	-71.40687
0.1	0.05	1100.0	0.0	0.615625	2.484375	-73.077866
0.1	0.05	1100.0	0.0	0.615625	2.5	-73.72805
0.1	0.05	1100.0	0.0	0.63125	1.5	-83.48673
0.1	0.05	1100.0	0.0	0.63125	1.515625	-83.71787
0.1	0.05	1100.0	0.0	0.63125	1.53125	-84.72407
0.1	0.05	1100.0	0.0	0.63125	1.546875	-84.897766
0.1	0.05	1100.0	0.0	0.63125	1.5625	-85.07193
0.1	0.05	1100.0	0.0	0.63125	1.578125	-85.79548
0.1	0.05	1100.0	0.0	0.63125	1.59375	-85.93346
0.1	0.05	1100.0	0.0	0.63125	1.609375	-86.06943
0.1	0.05	1100.0	0.0	0.63125	1.625	-86.20179
0.1	0.05	1100.0	0.0	0.63125	1.640625	-86.69363
0.1	0.05	1100.0	0.0	0.63125	1.65625	-86.835434
0.1	0.05	1100.0	0.0	0.63125	1.671875	-86.93265
0.1	0.05	1100.0	0.0	0.63125	1.6875	-87.02344
0.1	0.05	1100.0	0.0	0.63125	1.703125	-87.10731
0.1	0.05	1100.0	0.0	0.63125	1.71875	-87.18387
0.1	0.05	1100.0	0.0	0.63125	1.734375	-87.252945
0.1	0.05	1100.0	0.0	0.63125	1.75	-87.31482
0.1	0.05	1100.0	0.0	0.63125	1.765625	-87.369286
0.1	0.05	1100.0	0.0	0.63125	1.78125	-87.695114
0.1	0.05	1100.0	0.0	0.63125	1.796875	-87.729614
0.1	0.05	1100.0	0.0	0.63125	1.8125	-87.75829
0.1	0.05	1100.0	0.0	0.63125	1.828125	-87.78138
0.1	0.05	1100.0	0.0	0.63125	1.84375	-87.79901
0.1	0.05	1100.0	0.0	0.63125	1.859375	-87.8116
0.1	0.05	1100.0	0.0	0.63125	1.875	-87.81911
0.1	0.05	1100.0	0.0	0.63125	1.890625	-87.82202
0.1	0.05	1100.0	0.0	0.63125	1.90625	-88.052315
0.1	0.05	1100.0	0.0	0.63125	1.921875	-88.04304
0.1	0.05	1100.0	0.0	0.63125	1.9375	-88.02959
0.1	0.05	1100.0	0.0	0.63125	1.953125	-88.01192
0.1	0.05	1100.0	0.0	0.63125	1.96875	-87.99018
0.1	0.05	1100.0	0.0	0.63125	2.03125	-88.07292
0.1	0.05	1100.0	0.0	0.63125	2.046875	-88.02988
0.1	0.05	1100.0	0.0	0.63125	2.0625	-87.9828
0.1	0.05	1100.0	0.0	0.63125	2.078125	-87.931816
0.1	0.05	1100.0	0.0	0.63125	2.09375	-84.528725
0.1	0.05	1100.0	0.0	0.63125	2.109375	-67.275764
0.1	0.05	1100.0	0.0	0.63125	2.125	-46.524372
0.1	0.05	1100.0	0.0	0.63125	2.140625	-27.039757
0.1	0.05	1100.0	0.0	0.63125	2.15625	-11.718956
0.1	0.05	1100.0	0.0	0.63125	2.171875	-5.851074
0.1	0.05	1100.0	0.0	0.63125	2.1875	-6.690407
0.1	0.05	1100.0	0.0	0.63125	2.203125	-8.120186
0.1	0.05	1100.0	0.0	0.63125	2.21875	-10.059631
0.1	0.05	1100.0	0.0	0.63125	2.234375	-9.616669
0.1	0.05	1100.0	0.0	0.63125	2.25	-9.37545
0.1	0.05	1100.0	0.0	0.63125	2.265625	-9.790962
0.1	0.05	1100.0	0.0	0.63125	2.28125	-10.806519
0.1	0.05	1100.0	0.0	0.63125	2.296875	-12.346268
0.1	0.05	1100.0	0.0	0.63125	2.3125	-13.706787
0.1	0.05	1100.0	0.0	0.63125	2.328125	-13.298805
0.1	0.05	1100.0	0.0	0.63125	2.34375	-13.4885025
0.1	0.05	1100.0	0.0	0.63125	2.359375	-20.30159
0.1	0.05	1100.0	0.0	0.63125	2.375	-32.35991
0.1	0.05	1100.0	0.0	0.63125	2.390625	-43.609005
0.1	0.05	1100.0	0.0	0.63125	2.40625	-52.007717
0.1	0.05	1100.0	0.0	0.63125	2.4375	-62.03381
0.1	0.05	1100.0	0.0	0.63125	2.46875	-67.23332
0.1	0.05	1100.0	0.0	0.63125	2.5	-70.27823
0.1	0.05	1100.0	0.0	0.646875	1.5	-80.9084
0.1	0.05	1100.0	0.0	0.646875	1.515625	-82.62957
0.1	0.05	1100.0	0.0	0.646875	1.53125	-82.87272
0.1	0.05	1100.0	0.0	0.646875	1.546875	-84.07196
0.1	0.05	1100.0	0.0	0.646875	1.5625	-84.249825
0.1	0.05	1100.0	0.0	0.646875	1.578125	-85.126305
0.1	0.05	1100.0	0.0	0.646875	1.59375	-85.26612
0.1	0.05	1100.0	0.0	0.646875	1.609375	-85.40848
0.1	0.05	1100.0	0.0	0.646875	1.625	-85.55138
0.1	0.05	1100.0	0.0	0.646875	1.640625	-86.17931
0.1	0.05	1100.0	0.0	0.646875	1.65625	-86.2938
0.1	0.05	1100.0	0.0	0.646875	1.671875	-86.4052
0.1	0.05	1100.0	0.0	0.646875	1.6875	-86.513016
0.1	0.05	1100.0	0.0	0.646875	1.703125	-86.61538
0.1	0.05	1100.0	0.0	0.646875	1.71875	-87.068375
0.1	0.05	1100.0	0.0	0.646875	1.734375	-87.144875
0.1	0.05	1100.0	0.0	0.646875	1.75	-87.21499
0.1	0.05	1100.0	0.0	0.646875	1.765625	-87.27883
0.1	0.05	1100.0	0.0	0.646875	1.78125	-87.33617
0.1	0.05	1100.0	0.0	0.646875	1.796875	-87.38685
0.1	0.05	1100.0	0.0	0.646875	1.8125	-87.43138
0.1	0.05	1100.0	0.0	0.646875	1.828125	-87.74495
0.1	0.05	1100.0	0.0	0.646875	1.84375	-87.7714
0.1	0.05	1100.0	0.0	0.646875	1.859375	-87.792595
0.1	0.05	1100.0	0.0	0.646875	1.875	-87.80886
0.1	0.05	1100.0	0.0	0.646875	1.890625	-87.819954
0.1	0.05	1100.0	0.0	0.646875	1.90625	-87.82662
0.1	0.05	1100.0	0.0	0.646875	1.921875	-87.82853
0.1	0.05	1100.0	0.0	0.646875	1.9375	-88.06155
0.1	0.05	1100.0	0.0	0.646875	1.953125	-88.052025
0.1	0.05	1100.0	0.0	0.646875	2.046875	-88.127045
0.1	0.05	1100.0	0.0	0.646875	2.0625	-88.089264
0.1	0.05	1100.0	0.0	0.646875	2.078125	-88.04773
0.1	0.05	1100.0	0.0	0.646875	2.09375	-88.0025
