x0	x1	x2	F	G	Robustness
0.0	0.0	0.0	0.1	0.1	-0.11062242
0.0	0.0	0.0	0.1	0.21875	-0.20771731
0.0	0.0	0.0	0.1	0.3375	-0.23320088
0.0	0.0	0.0	0.1	0.45624998	-0.24050158
0.0	0.0	0.0	0.1	0.575	-0.24249223
0.0	0.0	0.0	0.1	0.69375	-0.24285541
0.0	0.0	0.0	0.1	0.8125	-0.24271233
0.0	0.0	0.0	0.1	0.93125004	-0.24245608
0.0	0.0	0.0	0.1	1.16875	-0.24207583
0.0	0.0	0.0	0.1	1.2875	-0.24201636
0.0	0.0	0.0	0.1	1.40625	-0.24204695
0.0	0.0	0.0	0.1	1.525	-0.24215984
0.0	0.0	0.0	0.1	1.64375	-0.24234757
0.0	0.0	0.0	0.1	1.7625	-0.24259922
0.0	0.0	0.0	0.1	1.88125	-0.24290696
0.0	0.0	0.0	0.1	2.0	-0.2432643
0.0	0.0	0.0	0.159375	0.1	-0.10159381
0.0	0.0	0.0	0.159375	0.1296875	-0.13559468
0.0	0.0	0.0	0.21875	0.1	-0.08489428
0.0	0.0	0.0	0.21875	0.159375	-0.15636596
0.0	0.0	0.0	0.21875	0.3375	-0.2760602
0.0	0.0	0.0	0.21875	0.8125	-0.26959026
0.0	0.0	0.0	0.21875	1.2875	-0.26115158
0.0	0.0	0.0	0.21875	1.7625	-0.25773796
0.0	0.0	0.0	0.2484375	0.1	-0.07531014
0.0	0.0	0.0	0.278125	0.1	-0.065948054
0.0	0.0	0.0	0.278125	0.1296875	-0.092490815
0.0	0.0	0.0	0.278125	0.21875	-0.22331275
0.0	0.0	0.0	0.3078125	0.1	-0.05740364
0.0	0.0	0.0	0.3078125	0.159375	-0.111850925
0.0	0.0	0.0	0.3375	0.1	-0.049977608
0.0	0.0	0.0	0.3375	0.1296875	-0.06851872
0.0	0.0	0.0	0.3375	0.159375	-0.09541351
0.0	0.0	0.0	0.3375	0.1890625	-0.135747
0.0	0.0	0.0	0.3375	0.21875	-0.19078039
0.0	0.0	0.0	0.3375	0.278125	-0.29180253
0.0	0.0	0.0	0.3375	0.45624998	-0.31921205
0.0	0.0	0.0	0.3375	0.575	-0.31185827
0.0	0.0	0.0	0.3375	0.69375	-0.30409122
0.0	0.0	0.0	0.3375	1.40625	-0.27835548
0.0	0.0	0.0	0.3375	1.525	-0.27631035
0.0	0.0	0.0	0.3375	1.64375	-0.27462015
0.0	0.0	0.0	0.3375	1.88125	-0.2720711
0.0	0.0	0.0	0.3375	2.0	-0.2711265
0.0	0.0	0.0	0.35234374	0.1	-0.046694644
0.0	0.0	0.0	0.3671875	0.1	-0.04367739
0.0	0.0	0.0	0.3671875	0.11484375	-0.050638326
0.0	0.0	0.0	0.3671875	0.159375	-0.08049121
0.0	0.0	0.0	0.3671875	0.21875	-0.16701522
0.0	0.0	0.0	0.38203123	0.1	-0.040900446
0.0	0.0	0.0	0.396875	0.1	-0.038337328
0.0	0.0	0.0	0.396875	0.1296875	-0.0506111
0.0	0.0	0.0	0.396875	0.21875	-0.14076546
0.0	0.0	0.0	0.396875	0.2484375	-0.20802823
0.0	0.0	0.0	0.41171873	0.1	-0.035965662
0.0	0.0	0.0	0.4265625	0.1	-0.0337703
0.0	0.0	0.0	0.4265625	0.11484375	-0.038478334
0.0	0.0	0.0	0.4265625	0.159375	-0.05744195
0.0	0.0	0.0	0.44140625	0.1	-0.03174328
0.0	0.0	0.0	0.44140625	0.1296875	-0.040848676
0.0	0.0	0.0	0.45624998	0.1	-0.029884096
0.0	0.0	0.0	0.45624998	0.11484375	-0.033756763
0.0	0.0	0.0	0.45624998	0.1296875	-0.038121723
0.0	0.0	0.0	0.45624998	0.14453125	-0.0431327
0.0	0.0	0.0	0.45624998	0.159375	-0.049012564
0.0	0.0	0.0	0.45624998	0.1890625	-0.0650017
0.0	0.0	0.0	0.45624998	0.20390625	-0.076652065
0.0	0.0	0.0	0.45624998	0.2484375	-0.14497887
0.0	0.0	0.0	0.45624998	0.26328126	-0.18373495
0.0	0.0	0.0	0.45624998	0.278125	-0.22821085
0.0	0.0	0.0	0.45624998	0.3078125	-0.31572425
0.0	0.0	0.0	0.45624998	0.3375	-0.34868422
0.0	0.0	0.0	0.47109374	0.1	-0.028197156
0.0	0.0	0.0	0.47109374	0.1296875	-0.0356317
0.0	0.0	0.0	0.47109374	0.159375	-0.045388147
0.0	0.0	0.0	0.48593748	0.1	-0.026687363
0.0	0.0	0.0	0.48593748	0.11484375	-0.029842867
0.0	0.0	0.0	0.48593748	0.14453125	-0.037411645
0.0	0.0	0.0	0.48593748	0.159375	-0.042103715
0.0	0.0	0.0	0.48593748	0.17421874	-0.047674797
0.0	0.0	0.0	0.48593748	0.21875	-0.07460597
0.0	0.0	0.0	0.48593748	0.23359376	-0.09079091
0.0	0.0	0.0	0.48593748	0.278125	-0.19058076
0.0	0.0	0.0	0.48593748	0.29296875	-0.24021606
0.0	0.0	0.0	0.50078124	0.1	-0.025356669
0.0	0.0	0.0	0.50078124	0.1296875	-0.03136183
0.0	0.0	0.0	0.50078124	0.159375	-0.039139144
0.0	0.0	0.0	0.50078124	0.1890625	-0.05005981
0.0	0.0	0.0	0.515625	0.1	-0.02419953
0.0	0.0	0.0	0.515625	0.11484375	-0.026756758
0.0	0.0	0.0	0.515625	0.1296875	-0.029585646
0.0	0.0	0.0	0.515625	0.14453125	-0.032785635
0.0	0.0	0.0	0.515625	0.17421874	-0.0408552
0.0	0.0	0.0	0.515625	0.1890625	-0.046119563
0.0	0.0	0.0	0.515625	0.20390625	-0.052624308
0.0	0.0	0.0	0.515625	0.21875	-0.06098084
0.0	0.0	0.0	0.515625	0.2484375	-0.088823095
0.0	0.0	0.0	0.515625	0.26328126	-0.11361944
0.0	0.0	0.0	0.53046876	0.1	-0.023200553
0.0	0.0	0.0	0.53046876	0.1296875	-0.028041994
0.0	0.0	0.0	0.53046876	0.159375	-0.03414192
