CaI	IP3	CaS	g	k1	k2	Robustness
0.1	0.05	1100.0	0.0	0.37499997	0.1546875	-0.21834841
0.1	0.05	1100.0	0.0	0.37499997	0.15625	-0.22470722
0.1	0.05	1100.0	0.0	0.37499997	0.1578125	-0.23392394
0.1	0.05	1100.0	0.0	0.37499997	0.159375	-0.23535451
0.1	0.05	1100.0	0.0	0.37499997	0.165625	-0.2664568
0.1	0.05	1100.0	0.0	0.37499997	0.16718751	-0.2701029
0.1	0.05	1100.0	0.0	0.37499997	0.16875	-0.29166105
0.1	0.05	1100.0	0.0	0.37499997	0.1703125	-0.28974947
0.1	0.05	1100.0	0.0	0.37499997	0.171875	-0.327687
0.1	0.05	1100.0	0.0	0.37499997	0.1734375	-5.588932
0.1	0.05	1100.0	0.0	0.37499997	0.17500001	-24.660854
0.1	0.05	1100.0	0.0	0.37499997	0.1765625	-35.721737
0.1	0.05	1100.0	0.0	0.37499997	0.178125	-41.680424
0.1	0.05	1100.0	0.0	0.37499997	0.1796875	-46.236458
0.1	0.05	1100.0	0.0	0.37499997	0.18125	-48.35183
0.1	0.05	1100.0	0.0	0.37499997	0.18281251	-53.507843
0.1	0.05	1100.0	0.0	0.37499997	0.184375	-54.21871
0.1	0.05	1100.0	0.0	0.3875	0.1140625	-0.05492145
0.1	0.05	1100.0	0.0	0.3875	0.115625	-0.06486791
0.1	0.05	1100.0	0.0	0.3875	0.1171875	-0.06855765
0.1	0.05	1100.0	0.0	0.3875	0.118750006	-0.07584047
0.1	0.05	1100.0	0.0	0.3875	0.120312504	-0.08511025
0.1	0.05	1100.0	0.0	0.3875	0.121875	-0.09128815
0.1	0.05	1100.0	0.0	0.3875	0.1234375	-0.09271553
0.1	0.05	1100.0	0.0	0.3875	0.125	-0.087893546
0.1	0.05	1100.0	0.0	0.3875	0.1265625	-0.10088983
0.1	0.05	1100.0	0.0	0.3875	0.128125	-0.11516687
0.1	0.05	1100.0	0.0	0.3875	0.1296875	-0.11463156
0.1	0.05	1100.0	0.0	0.3875	0.13125	-0.124124914
0.1	0.05	1100.0	0.0	0.3875	0.1328125	-0.13366923
0.1	0.05	1100.0	0.0	0.3875	0.134375	-0.13356552
0.1	0.05	1100.0	0.0	0.3875	0.1359375	-0.13361475
0.1	0.05	1100.0	0.0	0.3875	0.1390625	-0.15435126
0.1	0.05	1100.0	0.0	0.3875	0.140625	-0.15377226
0.1	0.05	1100.0	0.0	0.3875	0.1421875	-0.15588257
0.1	0.05	1100.0	0.0	0.3875	0.14375	-0.16690186
0.1	0.05	1100.0	0.0	0.3875	0.1453125	-0.15814188
0.1	0.05	1100.0	0.0	0.3875	0.146875	-0.16948196
0.1	0.05	1100.0	0.0	0.3875	0.1484375	-0.1707916
0.1	0.05	1100.0	0.0	0.3875	0.15	-0.17269102
0.1	0.05	1100.0	0.0	0.3875	0.1515625	-0.18447807
0.1	0.05	1100.0	0.0	0.3875	0.153125	-0.19416532
0.1	0.05	1100.0	0.0	0.3875	0.1546875	-0.18851027
0.1	0.05	1100.0	0.0	0.3875	0.15625	-0.19072518
0.1	0.05	1100.0	0.0	0.3875	0.1578125	-0.19921264
0.1	0.05	1100.0	0.0	0.3875	0.159375	-0.20539036
0.1	0.05	1100.0	0.0	0.3875	0.1609375	-0.21663144
0.1	0.05	1100.0	0.0	0.3875	0.1640625	-0.21452793
0.1	0.05	1100.0	0.0	0.3875	0.165625	-0.22358623
0.1	0.05	1100.0	0.0	0.3875	0.16718751	-0.22856334
0.1	0.05	1100.0	0.0	0.3875	0.16875	-0.24134746
0.1	0.05	1100.0	0.0	0.3875	0.1703125	-0.23106107
0.1	0.05	1100.0	0.0	0.3875	0.171875	-0.24020055
0.1	0.05	1100.0	0.0	0.3875	0.1734375	-0.2397925
0.1	0.05	1100.0	0.0	0.3875	0.17500001	-0.24672905
0.1	0.05	1100.0	0.0	0.3875	0.1765625	-0.26525274
0.1	0.05	1100.0	0.0	0.3875	0.178125	-0.2559928
0.1	0.05	1100.0	0.0	0.3875	0.1796875	-0.26448187
0.1	0.05	1100.0	0.0	0.3875	0.18125	-0.27269015
0.1	0.05	1100.0	0.0	0.3875	0.18281251	-0.2804828
0.1	0.05	1100.0	0.0	0.3875	0.184375	-0.28779885
0.1	0.05	1100.0	0.0	0.3875	0.1859375	-0.29447058
0.1	0.05	1100.0	0.0	0.39999998	0.112500004	-0.00411582
0.1	0.05	1100.0	0.0	0.39999998	0.1140625	-0.010559857
0.1	0.05	1100.0	0.0	0.39999998	0.115625	-0.023115426
