environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 1, 5
dist, 1, 2, 1, 2, 12
dist, 1, 3, 2, 6, 40
dist, 1, 4, 6, 24, 96
dist, 1, 5, 10, 50, 134
dist, 1, 6, 28, 168, 462
dist, 1, 7, 85, 595, 1425
dist, 1, 8, 246, 1968, 4192
dist, 16, 1, 1, 1, 5
dist, 16, 2, 1, 2, 12
dist, 16, 3, 2, 6, 40
dist, 16, 4, 6, 24, 96
dist, 16, 5, 10, 50, 134
dist, 16, 6, 28, 168, 462
dist, 16, 7, 85, 595, 1425
dist, 16, 8, 246, 1968, 4192
dist, 2, 1, 1, 1, 5
dist, 2, 2, 1, 2, 12
dist, 2, 3, 2, 6, 40
dist, 2, 4, 6, 24, 96
dist, 2, 5, 10, 50, 134
dist, 2, 6, 28, 168, 462
dist, 2, 7, 85, 595, 1425
dist, 2, 8, 246, 1968, 4192
dist, 4, 1, 1, 1, 5
dist, 4, 2, 1, 2, 12
dist, 4, 3, 2, 6, 40
dist, 4, 4, 6, 24, 96
dist, 4, 5, 10, 50, 134
dist, 4, 6, 28, 168, 462
dist, 4, 7, 85, 595, 1425
dist, 4, 8, 246, 1968, 4192
dist, 8, 1, 1, 1, 5
dist, 8, 2, 1, 2, 12
dist, 8, 3, 2, 6, 40
dist, 8, 4, 6, 24, 96
dist, 8, 5, 10, 50, 134
dist, 8, 6, 28, 168, 462
dist, 8, 7, 85, 595, 1425
dist, 8, 8, 246, 1968, 4192
