predator	prey	Robustness
1.0	1.0	-34.56725
1.0	4.09375	-25.482426
1.0	7.1875	-28.487402
1.0	10.28125	-22.015667
1.0	13.375	-23.548271
1.0	16.46875	-23.349695
1.0	19.5625	-24.665098
1.0	22.65625	-22.480017
1.0	25.75	-19.466244
1.0	28.84375	-20.400145
1.0	31.9375	-20.096317
1.0	35.03125	-19.439976
1.0	38.125	-17.766449
1.0	41.21875	-18.138054
1.0	44.3125	-19.416294
1.0	47.40625	-19.685345
1.0	50.5	-18.009182
1.0	53.59375	-18.843588
1.0	56.6875	-17.953392
1.0	59.78125	-18.328514
1.0	62.875	-18.603489
1.0	65.96875	-20.739134
1.0	69.0625	-19.039753
1.0	72.15625	-19.867748
1.0	75.25	-21.044098
1.0	78.34375	-17.116146
1.0	81.4375	-20.01346
1.0	84.53125	-20.860348
1.0	87.625	-21.378937
1.0	90.71875	-22.98314
1.0	93.8125	-23.800444
1.0	96.90625	-20.026102
1.0	100.0	-18.850346
4.09375	1.0	-29.935295
4.09375	4.09375	-23.541464
4.09375	7.1875	-11.332771
4.09375	10.28125	-3.0221825
4.09375	13.375	-0.4304695
4.09375	16.46875	3.1015892
4.09375	19.5625	6.5592346
4.09375	22.65625	8.613258
4.09375	25.75	9.225956
4.09375	28.84375	10.846699
4.09375	31.9375	11.170536
4.09375	35.03125	11.656147
4.09375	38.125	12.153801
4.09375	41.21875	12.379261
4.09375	44.3125	13.562971
4.09375	47.40625	13.514
4.09375	50.5	12.15477
4.09375	53.59375	12.877808
4.09375	56.6875	12.066904
4.09375	59.78125	12.817608
4.09375	62.875	12.003992
4.09375	65.96875	12.422787
4.09375	69.0625	11.912304
4.09375	72.15625	11.572929
4.09375	75.25	11.256567
4.09375	78.34375	9.97057
4.09375	81.4375	10.2635765
4.09375	84.53125	9.967373
4.09375	87.625	9.034309
4.09375	90.71875	8.646845
4.09375	93.8125	7.1353188
4.09375	96.90625	7.893467
4.09375	100.0	6.489956
7.1875	1.0	-23.784441
7.1875	4.09375	-11.544239
7.1875	7.1875	0.7302551
7.1875	10.28125	8.247892
7.1875	13.375	11.798725
7.1875	16.46875	13.776272
7.1875	19.5625	14.991722
7.1875	22.65625	17.699518
7.1875	25.75	17.915539
7.1875	28.84375	18.930265
7.1875	31.9375	18.845324
7.1875	35.03125	19.028856
7.1875	38.125	19.682331
7.1875	41.21875	19.309608
7.1875	44.3125	19.9951
7.1875	47.40625	19.604458
7.1875	50.5	19.67215
7.1875	53.59375	19.33316
7.1875	56.6875	19.891933
7.1875	59.78125	20.065845
7.1875	62.875	19.260866
7.1875	65.96875	19.362387
7.1875	69.0625	19.029594
7.1875	72.15625	18.889715
7.1875	75.25	18.888168
7.1875	78.34375	18.764277
7.1875	81.4375	18.669235
7.1875	84.53125	17.984322
7.1875	87.625	17.759537
7.1875	90.71875	16.986107
7.1875	93.8125	16.758547
7.1875	96.90625	16.92997
7.1875	100.0	16.1751
10.28125	1.0	-19.50097
10.28125	4.09375	-3.580967
10.28125	7.1875	7.7375984
10.28125	10.28125	14.031332
10.28125	13.375	16.932167
10.28125	16.46875	17.83812
10.28125	19.5625	19.382261
10.28125	22.65625	20.219187
10.28125	25.75	21.399336
10.28125	28.84375	21.246334
10.28125	31.9375	21.779242
10.28125	35.03125	21.734783
10.28125	38.125	22.144611
10.28125	41.21875	21.738115
10.28125	44.3125	21.800842
10.28125	47.40625	21.991266
10.28125	50.5	21.670223
10.28125	53.59375	21.688305
10.28125	56.6875	22.217028
10.28125	59.78125	21.701263
10.28125	62.875	21.955236
10.28125	65.96875	21.44943
10.28125	69.0625	21.374443
10.28125	72.15625	21.335688
10.28125	75.25	21.887617
10.28125	78.34375	21.020367
10.28125	81.4375	21.725689
10.28125	84.53125	21.360065
10.28125	87.625	20.768154
10.28125	90.71875	20.451302
10.28125	93.8125	20.472595
10.28125	96.90625	20.71684
10.28125	100.0	19.907127
13.375	1.0	-20.597742
13.375	4.09375	0.65994644
13.375	7.1875	11.794987
13.375	10.28125	17.301321
13.375	13.375	19.023857
13.375	16.46875	20.16304
13.375	19.5625	21.371138
13.375	22.65625	21.855421
13.375	25.75	22.470345
13.375	28.84375	21.986826
13.375	31.9375	21.906998
13.375	35.03125	22.19324
13.375	38.125	21.898975
13.375	41.21875	21.693024
13.375	44.3125	21.503145
13.375	47.40625	21.442814
13.375	50.5	21.533283
13.375	53.59375	21.664074
13.375	56.6875	21.489122
13.375	62.875	21.769365
13.375	69.0625	22.06337
13.375	75.25	22.115816
13.375	78.34375	22.297335
13.375	81.4375	22.297268
13.375	84.53125	21.770584
13.375	87.625	22.144241
13.375	90.71875	22.258621
13.375	93.8125	21.428528
13.375	96.90625	21.314634
13.375	100.0	21.740582
16.46875	1.0	-22.750381
16.46875	4.09375	4.8380623
16.46875	7.1875	13.191069
16.46875	10.28125	18.990967
16.46875	13.375	20.24868
16.46875	16.46875	21.109854
16.46875	19.5625	21.643946
16.46875	22.65625	22.292068
16.46875	25.75	21.858704
16.46875	28.84375	21.139297
16.46875	31.9375	20.3727
16.46875	35.03125	19.761364
16.46875	38.125	19.296415
16.46875	41.21875	19.07361
16.46875	44.3125	19.132027
16.46875	47.40625	18.710138
16.46875	50.5	18.73979
16.46875	53.59375	18.660027
16.46875	56.6875	18.771463
16.46875	59.78125	18.907558
16.46875	62.875	19.103968
16.46875	65.96875	19.16677
16.46875	69.0625	19.47901
16.46875	72.15625	20.018295
16.46875	75.25	20.379536
16.46875	78.34375	20.685276
16.46875	81.4375	21.020477
16.46875	84.53125	21.647734
16.46875	87.625	21.717016
16.46875	90.71875	21.924797
16.46875	93.8125	22.071247
16.46875	96.90625	22.0969
16.46875	100.0	22.07301
19.5625	1.0	-22.632103
19.5625	4.09375	6.116585
19.5625	7.1875	16.112926
19.5625	10.28125	19.721811
19.5625	13.375	21.459862
19.5625	16.46875	21.977036
19.5625	19.5625	22.004639
19.5625	22.65625	21.43411
19.5625	25.75	19.869465
19.5625	28.84375	18.815197
19.5625	31.9375	18.41294
19.5625	35.03125	17.303616
19.5625	38.125	16.825125
19.5625	41.21875	16.650703
19.5625	44.3125	16.109037
19.5625	47.40625	16.082401
19.5625	50.5	15.983055
19.5625	56.6875	15.994831
19.5625	62.875	16.955095
19.5625	69.0625	17.23651
19.5625	75.25	18.378693
19.5625	78.34375	18.497427
19.5625	81.4375	19.113823
19.5625	84.53125	19.614578
19.5625	87.625	20.10924
19.5625	90.71875	20.553766
19.5625	93.8125	20.837742
19.5625	96.90625	21.586721
19.5625	100.0	21.861973
22.65625	1.0	-23.316553
22.65625	4.09375	7.8576546
22.65625	7.1875	16.97428
22.65625	10.28125	20.382973
22.65625	13.375	21.845417
22.65625	16.46875	21.821556
22.65625	19.5625	21.064133
22.65625	22.65625	19.67022
22.65625	25.75	18.174643
