predator	prey	Robustness
1.0	1.0	-34.56725
1.0	2.546875	-25.083838
1.0	4.09375	-25.482426
1.0	5.640625	-27.292055
1.0	7.1875	-28.487402
1.0	8.734375	-23.04314
1.0	10.28125	-22.015667
1.0	11.828125	-24.280474
1.0	13.375	-23.548271
1.0	14.921875	-24.169632
1.0	16.46875	-23.349695
1.0	18.015625	-19.265314
1.0	19.5625	-24.665098
1.0	21.109375	-24.93737
1.0	22.65625	-22.480017
1.0	24.203125	-19.557041
1.0	25.75	-19.466244
1.0	27.296875	-21.569317
1.0	28.84375	-20.400145
1.0	30.390625	-21.199516
1.0	31.9375	-20.096317
1.0	33.484375	-20.568115
1.0	35.03125	-19.439976
1.0	36.578125	-18.726965
1.0	38.125	-17.766449
1.0	39.671875	-19.359543
1.0	41.21875	-18.138054
1.0	42.765625	-17.726421
1.0	44.3125	-19.416294
1.0	45.859375	-17.529121
1.0	47.40625	-19.685345
1.0	48.953125	-17.451454
1.0	50.5	-18.009182
1.0	52.046875	-18.779339
1.0	53.59375	-18.843588
1.0	55.140625	-16.310307
1.0	56.6875	-17.953392
1.0	58.234375	-17.362812
1.0	59.78125	-18.328514
1.0	61.328125	-18.933714
1.0	62.875	-18.603489
1.0	64.421875	-18.627062
1.0	65.96875	-20.739134
1.0	67.515625	-20.23937
1.0	69.0625	-19.039753
1.0	70.609375	-20.578773
1.0	72.15625	-19.867748
1.0	73.703125	-19.929642
1.0	75.25	-21.044098
1.0	76.796875	-20.9109
1.0	78.34375	-17.116146
1.0	79.890625	-20.455563
1.0	81.4375	-20.01346
1.0	82.984375	-20.112663
1.0	84.53125	-20.860348
1.0	86.078125	-21.242195
1.0	87.625	-21.378937
1.0	89.171875	-23.238598
1.0	90.71875	-22.98314
1.0	92.265625	-22.389553
1.0	93.8125	-23.800444
1.0	95.359375	-17.891972
1.0	96.90625	-20.026102
1.0	98.453125	-22.015207
1.0	100.0	-18.850346
2.546875	1.0	-31.07484
2.546875	2.546875	-26.736967
2.546875	4.09375	-26.661322
2.546875	5.640625	-25.401794
2.546875	7.1875	-21.52838
2.546875	8.734375	-18.56049
2.546875	10.28125	-16.020546
2.546875	11.828125	-13.697964
2.546875	13.375	-11.035347
2.546875	14.921875	-7.3848534
2.546875	16.46875	-6.186474
2.546875	18.015625	-6.0648155
2.546875	19.5625	-3.1602135
2.546875	21.109375	-1.829422
2.546875	22.65625	-1.7532768
2.546875	24.203125	0.13219452
2.546875	25.75	-0.7704849
2.546875	27.296875	0.8150101
2.546875	28.84375	1.8463974
2.546875	30.390625	2.3259277
2.546875	31.9375	3.0277748
2.546875	33.484375	2.822197
2.546875	35.03125	1.7545967
2.546875	36.578125	4.246807
2.546875	38.125	4.338684
2.546875	39.671875	3.4938698
2.546875	41.21875	2.2703285
2.546875	42.765625	3.4621964
2.546875	44.3125	2.4738579
2.546875	45.859375	4.422596
2.546875	47.40625	4.831604
2.546875	48.953125	5.4375954
2.546875	50.5	4.1898537
2.546875	52.046875	4.4791985
2.546875	53.59375	3.454548
2.546875	55.140625	4.052368
2.546875	56.6875	3.6395836
2.546875	58.234375	3.0984344
2.546875	59.78125	3.512127
2.546875	61.328125	4.4150963
2.546875	62.875	2.9098816
2.546875	64.421875	2.1943932
2.546875	65.96875	2.508587
2.546875	67.515625	2.770012
2.546875	69.0625	2.7395973
2.546875	70.609375	3.0202446
2.546875	72.15625	2.7195816
2.546875	73.703125	2.4833565
2.546875	75.25	1.6259155
2.546875	76.796875	1.4612694
2.546875	78.34375	1.2459869
2.546875	79.890625	0.763855
2.546875	81.4375	0.23009491
2.546875	82.984375	0.28505325
2.546875	84.53125	-0.8760643
2.546875	86.078125	-0.92860794
2.546875	87.625	-0.85043335
2.546875	89.171875	-1.1900215
2.546875	90.71875	-1.410408
2.546875	92.265625	-2.459774
2.546875	93.8125	-1.2290916
2.546875	95.359375	-2.0052376
2.546875	96.90625	-1.871727
2.546875	98.453125	-1.4419289
2.546875	100.0	-4.1981316
4.09375	1.0	-29.935295
4.09375	2.546875	-26.159227
4.09375	4.09375	-23.541464
4.09375	5.640625	-17.417774
4.09375	7.1875	-11.332771
4.09375	8.734375	-7.716049
4.09375	10.28125	-3.0221825
4.09375	11.828125	-1.3237495
4.09375	13.375	-0.4304695
4.09375	14.921875	2.8566093
4.09375	16.46875	3.1015892
4.09375	18.015625	4.7781715
4.09375	19.5625	6.5592346
4.09375	21.109375	7.299156
4.09375	22.65625	8.613258
4.09375	24.203125	8.284224
