predator	prey	Robustness
1.0	1.0	-34.56725
1.0	13.375	-23.548271
1.0	25.75	-19.466244
1.0	38.125	-17.766449
1.0	50.5	-18.009182
1.0	62.875	-18.603489
1.0	75.25	-21.044098
1.0	87.625	-21.378937
1.0	100.0	-18.850346
13.375	1.0	-20.597742
13.375	13.375	19.023857
13.375	25.75	22.470345
13.375	38.125	21.898975
13.375	50.5	21.533283
13.375	62.875	21.769365
13.375	75.25	22.115816
13.375	87.625	22.144241
13.375	100.0	21.740582
25.75	1.0	-21.049755
25.75	13.375	22.42778
25.75	25.75	16.795328
25.75	38.125	12.36071
25.75	50.5	10.572111
25.75	62.875	11.872362
25.75	75.25	14.168808
25.75	87.625	17.036898
25.75	100.0	19.647594
38.125	1.0	-19.962147
38.125	13.375	21.926525
38.125	25.75	11.908457
38.125	38.125	3.4400406
38.125	50.5	0.045330048
38.125	62.875	3.3073006
38.125	75.25	8.070442
38.125	87.625	12.511648
38.125	100.0	16.159735
50.5	1.0	-19.198997
50.5	13.375	21.111101
50.5	25.75	10.360058
50.5	38.125	0.26664734
50.5	50.5	-9.73011
50.5	62.875	0.16603851
50.5	75.25	6.223015
50.5	87.625	11.256689
50.5	100.0	15.875076
62.875	1.0	-19.771748
62.875	13.375	21.666328
62.875	25.75	12.067881
62.875	38.125	3.6352997
62.875	50.5	-0.5387993
62.875	62.875	2.9448586
62.875	75.25	7.880253
62.875	87.625	12.510078
62.875	100.0	16.207481
75.25	1.0	-21.214705
75.25	13.375	22.183811
75.25	25.75	14.668173
75.25	38.125	8.285471
75.25	50.5	6.5127907
75.25	62.875	7.5130043
75.25	75.25	11.50219
75.25	87.625	15.020296
75.25	100.0	17.528667
87.625	1.0	-22.210508
87.625	13.375	21.679848
87.625	25.75	16.724808
87.625	38.125	12.817892
87.625	50.5	11.125143
87.625	62.875	12.692867
87.625	75.25	14.379063
87.625	87.625	17.818573
87.625	100.0	19.67977
100.0	1.0	-22.189083
100.0	13.375	21.424706
100.0	25.75	19.496168
100.0	38.125	16.388546
100.0	50.5	15.529078
100.0	62.875	15.72843
100.0	75.25	17.826412
100.0	87.625	19.945623
100.0	100.0	21.686539
