predator	prey	Robustness
1.0	1.0	-34.56725
1.0	7.1875	-28.487402
1.0	13.375	-23.548271
1.0	19.5625	-24.665098
1.0	25.75	-19.466244
1.0	31.9375	-20.096317
1.0	38.125	-17.766449
1.0	44.3125	-19.416294
1.0	50.5	-18.009182
1.0	56.6875	-17.953392
1.0	62.875	-18.603489
1.0	69.0625	-19.039753
1.0	75.25	-21.044098
1.0	81.4375	-20.01346
1.0	87.625	-21.378937
1.0	93.8125	-23.800444
1.0	100.0	-18.850346
7.1875	1.0	-23.784441
7.1875	7.1875	0.7302551
7.1875	13.375	11.798725
7.1875	19.5625	14.991722
7.1875	25.75	17.915539
7.1875	31.9375	18.845324
7.1875	38.125	19.682331
7.1875	44.3125	19.9951
7.1875	50.5	19.67215
7.1875	56.6875	19.891933
7.1875	62.875	19.260866
7.1875	69.0625	19.029594
7.1875	75.25	18.888168
7.1875	81.4375	18.669235
7.1875	87.625	17.759537
7.1875	93.8125	16.758547
7.1875	100.0	16.1751
13.375	1.0	-20.597742
13.375	7.1875	11.794987
13.375	13.375	19.023857
13.375	19.5625	21.371138
13.375	25.75	22.470345
13.375	31.9375	21.906998
13.375	38.125	21.898975
13.375	44.3125	21.503145
13.375	50.5	21.533283
13.375	56.6875	21.489122
13.375	62.875	21.769365
13.375	69.0625	22.06337
13.375	75.25	22.115816
13.375	81.4375	22.297268
13.375	87.625	22.144241
13.375	93.8125	21.428528
13.375	100.0	21.740582
19.5625	1.0	-22.632103
19.5625	7.1875	16.112926
19.5625	13.375	21.459862
19.5625	19.5625	22.004639
19.5625	25.75	19.869465
19.5625	31.9375	18.41294
19.5625	38.125	16.825125
19.5625	44.3125	16.109037
19.5625	50.5	15.983055
19.5625	56.6875	15.994831
19.5625	62.875	16.955095
19.5625	69.0625	17.23651
19.5625	75.25	18.378693
19.5625	81.4375	19.113823
19.5625	87.625	20.10924
19.5625	93.8125	20.837742
19.5625	100.0	21.861973
25.75	1.0	-21.049755
25.75	7.1875	17.476448
25.75	13.375	22.42778
25.75	19.5625	19.990362
25.75	25.75	16.795328
25.75	31.9375	13.9020195
25.75	38.125	12.36071
25.75	44.3125	11.065945
25.75	50.5	10.572111
25.75	56.6875	11.488012
25.75	62.875	11.872362
25.75	69.0625	13.056536
25.75	75.25	14.168808
25.75	81.4375	15.930014
25.75	87.625	17.036898
25.75	93.8125	18.484173
25.75	100.0	19.647594
31.9375	1.0	-19.382092
31.9375	7.1875	18.656237
31.9375	13.375	22.197145
31.9375	19.5625	18.011002
31.9375	25.75	14.040215
31.9375	31.9375	10.103239
31.9375	38.125	7.2102585
31.9375	44.3125	6.153034
31.9375	50.5	5.4676743
31.9375	56.6875	5.7551537
31.9375	62.875	7.299694
31.9375	69.0625	8.782158
31.9375	75.25	10.754332
31.9375	81.4375	12.790119
31.9375	87.625	14.472393
31.9375	93.8125	16.185713
31.9375	100.0	17.772022
38.125	1.0	-19.962147
38.125	7.1875	19.737364
38.125	13.375	21.926525
38.125	19.5625	16.676764
38.125	25.75	11.908457
38.125	31.9375	7.457039
38.125	38.125	3.4400406
38.125	44.3125	1.3986626
38.125	50.5	0.045330048
38.125	56.6875	1.1760445
38.125	62.875	3.3073006
38.125	69.0625	5.945717
38.125	75.25	8.070442
38.125	81.4375	10.357794
38.125	87.625	12.511648
38.125	93.8125	14.611698
38.125	100.0	16.159735
44.3125	1.0	-18.088924
44.3125	7.1875	19.759588
44.3125	13.375	21.330008
44.3125	19.5625	16.221657
44.3125	25.75	11.068413
44.3125	31.9375	5.653179
44.3125	38.125	1.1528358
44.3125	44.3125	-3.0331612
44.3125	50.5	-4.4422493
44.3125	56.6875	-3.0791855
44.3125	62.875	0.4323311
44.3125	69.0625	3.873211
44.3125	75.25	6.334133
44.3125	81.4375	8.7731
44.3125	87.625	11.814304
44.3125	93.8125	13.830933
44.3125	100.0	15.497023
50.5	1.0	-19.198997
50.5	7.1875	19.971554
50.5	13.375	21.111101
50.5	19.5625	16.203064
50.5	25.75	10.360058
50.5	31.9375	5.5005913
50.5	38.125	0.26664734
50.5	44.3125	-4.902725
50.5	50.5	-9.73011
50.5	56.6875	-4.4763412
50.5	62.875	0.16603851
50.5	69.0625	3.1220055
50.5	75.25	6.223015
50.5	81.4375	8.476173
50.5	87.625	11.256689
50.5	93.8125	13.631294
50.5	100.0	15.875076
56.6875	1.0	-17.738007
56.6875	7.1875	20.049746
56.6875	13.375	21.351984
56.6875	19.5625	16.323051
